,RMSE,MAE,R2,Explained Variance,MAPE,Overall Score
Linear Regression,11.810648064888731,9.88448241863419,0.6253959476930868,0.6254258250971882,0.1746945918305608,0.250177360412646
Ridge,11.810199725404395,9.885420611055688,0.6254243875549776,0.625454710140819,0.1747515632631585,0.25018493926867674
Random Forest,10.844929790370117,9.268365334795522,0.684151729251169,0.6841679366538773,0.1624286283702741,0.3188515387096972
XGBoost,10.903286681612375,9.295964241027832,0.680743396282196,0.6807572841644287,0.1644027829170227,0.31495341333195287
Gradient Boosting,10.869857746062966,9.280102563353081,0.6826980544488932,0.6827126554022886,0.1641163615374268,0.31718834974217597
SVR,11.427643173119334,9.636331762571364,0.6492979082349337,0.6493421742363328,0.1704180260220589,0.27773019422851974
Voting Regressor,10.86157086333972,9.27573103828077,0.6831816747066534,0.683196216057006,0.16355803870604915,0.3177508997503941
Stacking Regressor,10.829410422062503,9.257675673864755,0.6850550561444853,0.6850722358472184,0.16225736893098847,0.3199547466944418
