iter	Logloss
0	0.5988015037
1	0.5220992129
2	0.4571118632
3	0.4030583915
4	0.3559681156
5	0.315365186
6	0.2801534668
7	0.250104636
8	0.2237848238
9	0.200720411
10	0.1797340244
11	0.1611448789
12	0.1445410141
13	0.1298142699
14	0.11662115
15	0.1051262295
16	0.09461884789
17	0.08519298042
18	0.07676557398
19	0.06922793478
20	0.06272053003
21	0.05658494531
22	0.05110026607
23	0.04619702989
24	0.04171208561
25	0.03774619724
26	0.0341247766
27	0.03095026082
28	0.02801558056
29	0.02535932195
30	0.02298758061
31	0.02086142853
32	0.01888097507
33	0.01711539641
34	0.01557217994
35	0.01412514543
36	0.01281354686
37	0.01162851665
38	0.01054049908
39	0.009564072262
40	0.008681474774
41	0.007876922444
42	0.007150471283
43	0.006494053213
44	0.005899043694
45	0.005357063426
46	0.004873570755
47	0.0044365604
48	0.004055621192
49	0.003704128988
50	0.003375149481
51	0.003076715132
52	0.00280613359
53	0.002561108903
54	0.002353657017
55	0.002151476292
56	0.001967839923
57	0.0018209527
58	0.001669248294
59	0.001531375881
60	0.001406274659
61	0.001292834358
62	0.001190094021
63	0.001097136975
64	0.001011295848
65	0.0009346326797
66	0.0008647984318
67	0.0008011000283
68	0.0007432161237
69	0.0006906029182
70	0.0006424542012
71	0.0005988295745
72	0.0005591143234
73	0.0005225021815
74	0.0004883324827
75	0.0004573046303
76	0.0004292179151
77	0.0004036411761
78	0.0003801264671
79	0.000358661388
80	0.0003386378062
81	0.0003203950687
82	0.0003035328193
83	0.000287826217
84	0.0002737151268
85	0.0002603710052
86	0.0002479090494
87	0.0002363114945
88	0.0002260105319
89	0.0002163020502
90	0.0002071895062
91	0.0001984967583
92	0.0001905706665
93	0.0001827585326
94	0.0001754008959
95	0.000168439884
96	0.0001626868229
97	0.0001569563571
98	0.0001509888721
99	0.0001465563617
100	0.0001410995464
101	0.0001369146767
102	0.0001321326613
103	0.0001285729069
104	0.0001240580783
105	0.0001209404525
106	0.0001172043414
107	0.0001136549723
108	0.0001109460734
109	0.0001075694723
110	0.0001052728961
111	0.000102462353
112	9.960423744e-05
113	9.714880329e-05
114	9.513875555e-05
115	9.268395193e-05
116	9.022641368e-05
117	8.812135742e-05
118	8.645665904e-05
119	8.430947838e-05
120	8.267904111e-05
121	8.080852326e-05
122	7.889333584e-05
123	7.748264267e-05
124	7.592144779e-05
125	7.422818607e-05
126	7.298644441e-05
127	7.168886317e-05
128	6.987487971e-05
129	6.868224958e-05
130	6.764905305e-05
131	6.610731457e-05
132	6.485293311e-05
133	6.387461495e-05
134	6.298660078e-05
135	6.221063409e-05
136	6.089268376e-05
137	5.969281329e-05
138	5.881002071e-05
139	5.795317078e-05
140	5.683723285e-05
141	5.570057727e-05
142	5.493660402e-05
143	5.417756e-05
144	5.348738713e-05
145	5.292336803e-05
146	5.236978114e-05
147	5.181025063e-05
148	5.061257737e-05
149	4.970010406e-05
