,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Overall Score
Logistic Regression,0.9644221105527638,0.981203007518797,0.9746079163554892,0.9778943424503559,0.9941714311254414,0.9788292947095204
Random Forest,0.9997989949748743,0.9997511199601792,1.0,0.9998755444928438,1.0,0.9998915131559061
XGBoost,0.9993969849246231,0.9995022399203584,0.9997510580034852,0.9996266334785314,0.9999968817286449,0.9996735000439333
Gradient Boosting,0.9997989949748743,0.9997511199601792,1.0,0.9998755444928438,1.0,0.9998915131559061
SVM,0.982713567839196,0.991006744941294,0.9875529001742595,0.9892768079800499,0.9986591433173105,0.9902165063788521
Voting Classifier,0.9997989949748743,0.9997511199601792,1.0,0.9998755444928438,1.0,0.9998915131559061
Stacking Classifier,0.9997989949748743,0.9997511199601792,1.0,0.9998755444928438,1.0,0.9998915131559061
