,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Overall Score
Stacking Classifier,0.9071356783919599,0.5080645161290323,0.40384615384615385,0.45,0.9465138749030474,0.767883184431669
Random Forest,0.9055276381909547,0.49722222222222223,0.38247863247863245,0.4323671497584541,0.9457828183699051,0.7612258687731046
XGBoost,0.9021105527638191,0.3855421686746988,0.06837606837606838,0.1161524500907441,0.9450683552081377,0.6544437860209004
Gradient Boosting,0.905929648241206,0.5,0.4551282051282051,0.47651006711409394,0.9449631058239888,0.7758009403930962
Voting Classifier,0.9019095477386935,0.47549019607843135,0.41452991452991456,0.4429223744292237,0.9447957498212657,0.7632092239963942
Logistic Regression,0.9029145728643216,0.4672489082969432,0.22863247863247863,0.30703012912482064,0.9378232151695652,0.7159226390529025
SVM,0.905929648241206,0.5,0.08333333333333333,0.14285714285714285,0.9301964275893719,0.6596610728959069
